trade_id,symbol,direction,signal_source,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,commission,realised_pnl,realised_return,holding_duration_days,holding_duration_bucket,mfe,mae,mfe_pct,mae_pct,vol_regime,trend_regime,entry_vol,exit_vol
1,XYZ,LONG,Composite,2018-01-21,2018-02-01,89.20239855431556,89.54255392523879,1000.0,10.0,330.16,0.003701,11.0,5-20d,340.16,3841.58,0.0038,0.0431,NORMAL,RANGE_BOUND,0.234951,0.252123
2,XYZ,SHORT,Volume_Exhaustion,2018-02-05,2018-02-22,90.09404872251136,91.73408010721946,2000.0,15.0,-3295.06,-0.018287,17.0,5-20d,5586.32,6101.31,0.031,0.0339,HIGH,RANGE_BOUND,0.270841,0.187802
3,XYZ,LONG,Volume_Exhaustion,2018-02-27,2018-03-13,98.29448342132699,101.64322884868157,2000.0,15.0,6682.49,0.033992,14.0,5-20d,7320.83,7320.83,0.0372,0.0372,NORMAL,RANGE_BOUND,0.164474,0.211984
4,XYZ,SHORT,ZScore,2018-03-22,2018-03-28,107.66046157847344,107.64114644081437,1000.0,10.0,9.32,8.7e-05,6.0,5-20d,2731.21,1233.59,0.0254,0.0115,NORMAL,RANGE_BOUND,0.229887,0.261235
5,XYZ,SHORT,VWAP_Reversion,2018-04-06,2018-04-21,110.25066699582065,116.93854880297494,1000.0,10.0,-6697.88,-0.060751,15.0,5-20d,1501.86,6687.88,0.0136,0.0607,NORMAL,RANGE_BOUND,0.243139,0.191689
6,XYZ,LONG,VWAP_Reversion,2018-04-24,2018-04-24,119.90838303265457,119.90838303265457,1000.0,10.0,-10.0,-8.3e-05,0.0,0-1d,0.0,0.0,0.0,0.0,NORMAL,RANGE_BOUND,0.200124,0.200124
7,XYZ,LONG,Volume_Exhaustion,2018-05-06,2018-05-21,122.82278267070484,133.17965522560732,1000.0,10.0,10346.87,0.084242,15.0,5-20d,10356.87,0.0,0.0843,0.0,NORMAL,RANGE_BOUND,0.223298,0.272931
8,XYZ,LONG,ZScore,2018-05-21,2018-06-06,133.20446637564984,132.55705021129268,2000.0,15.0,-1309.83,-0.004917,16.0,5-20d,19903.22,2196.09,0.0747,0.0082,HIGH,RANGE_BOUND,0.272931,0.290292
9,XYZ,SHORT,VWAP_Reversion,2018-06-11,2018-06-20,130.75809011696896,132.30857022834152,1000.0,10.0,-1560.48,-0.011934,9.0,5-20d,5099.34,1550.48,0.039,0.0119,HIGH,RANGE_BOUND,0.262339,0.192672
10,XYZ,SHORT,Volume_Exhaustion,2018-07-01,2018-07-16,122.53217580133892,124.46305066875236,2000.0,15.0,-3876.75,-0.015819,15.0,5-20d,5681.83,5675.63,0.0232,0.0232,NORMAL,RANGE_BOUND,0.196909,0.246562
11,XYZ,LONG,Composite,2018-07-20,2018-07-24,118.18289070651544,122.28773932633668,1000.0,10.0,4094.85,0.034648,4.0,1-5d,4104.85,316.69,0.0347,0.0027,HIGH,RANGE_BOUND,0.266724,0.240605
12,XYZ,SHORT,Volume_Exhaustion,2018-08-04,2018-08-19,117.92088334662954,114.39794720721123,1000.0,10.0,3512.94,0.029791,15.0,5-20d,3530.94,0.0,0.0299,0.0,HIGH,RANGE_BOUND,0.265907,0.237625
13,XYZ,LONG,Volume_Exhaustion,2018-08-25,2018-08-28,118.72633466575438,122.6599802574206,1000.0,10.0,3923.65,0.033048,3.0,1-5d,3933.65,0.0,0.0331,0.0,NORMAL,UPTREND,0.248,0.243711
14,XYZ,LONG,Volume_Exhaustion,2018-09-03,2018-09-24,125.91538229746575,135.60790435093082,2000.0,15.0,19370.04,0.076917,21.0,20+d,24122.54,8717.89,0.0958,0.0346,HIGH,UPTREND,0.255975,0.204619
15,XYZ,SHORT,ZScore,2018-09-24,2018-10-23,136.90818714071906,144.16517161886134,3000.0,20.0,-21790.95,-0.053055,29.0,20+d,25014.9,29536.38,0.0609,0.0719,NORMAL,UPTREND,0.204619,0.217082
16,XYZ,LONG,VWAP_Reversion,2018-10-27,2018-11-08,140.43667295457655,133.7757453261933,2000.0,15.0,-13336.86,-0.047484,12.0,5-20d,7232.46,13321.86,0.0257,0.0474,NORMAL,UPTREND,0.191857,0.221943
17,XYZ,SHORT,ZScore,2018-11-17,2018-11-19,129.71833956456064,129.52762850066432,1000.0,10.0,180.71,0.001393,2.0,1-5d,190.71,1921.96,0.0015,0.0148,NORMAL,RANGE_BOUND,0.221381,0.221393
18,XYZ,LONG,Composite,2018-12-02,2018-12-06,141.02986539806986,148.73125151285748,1000.0,10.0,7691.39,0.054537,4.0,1-5d,7701.39,431.87,0.0546,0.0031,NORMAL,UPTREND,0.238905,0.231138
19,XYZ,LONG,Composite,2018-12-17,2019-01-07,162.91700297732402,162.21575184488427,2000.0,15.0,-1417.5,-0.00435,21.0,20+d,26364.46,6038.2,0.0809,0.0185,NORMAL,UPTREND,0.220054,0.288746
20,XYZ,SHORT,Composite,2019-01-10,2019-01-23,166.00916798974998,170.17269417983755,2000.0,15.0,-8342.05,-0.025125,13.0,5-20d,6156.66,11760.53,0.0185,0.0354,HIGH,UPTREND,0.262406,0.239358
21,XYZ,LONG,Volume_Exhaustion,2019-01-31,2019-02-16,184.68019529607548,183.2082061150851,2000.0,15.0,-2958.98,-0.008011,16.0,5-20d,2982.79,15184.83,0.0081,0.0411,HIGH,UPTREND,0.284991,0.289401
22,XYZ,SHORT,VWAP_Reversion,2019-02-25,2019-03-02,184.4931334332928,173.39199279121195,1000.0,10.0,11091.14,0.060117,5.0,1-5d,11101.14,0.0,0.0602,0.0,NORMAL,UPTREND,0.247637,0.261311
23,XYZ,SHORT,ZScore,2019-03-11,2019-03-31,179.05232008182338,201.18323272592144,2000.0,15.0,-44276.83,-0.123642,20.0,5-20d,16786.34,44261.83,0.0469,0.1236,HIGH,RANGE_BOUND,0.284172,0.272639
24,XYZ,SHORT,VWAP_Reversion,2019-04-01,2019-04-16,201.25709358334097,191.07129710948922,1000.0,10.0,10175.8,0.050561,15.0,5-20d,10185.8,3048.05,0.0506,0.0151,HIGH,UPTREND,0.264987,0.240616
25,XYZ,LONG,VWAP_Reversion,2019-04-23,2019-05-06,183.24304922102826,180.91905573035277,2000.0,15.0,-4662.99,-0.012724,13.0,5-20d,2506.68,11821.28,0.0068,0.0323,NORMAL,RANGE_BOUND,0.226671,0.204821
26,XYZ,SHORT,Composite,2019-05-16,2019-05-20,164.92284658370804,160.8687587469529,1000.0,10.0,4044.09,0.024521,4.0,1-5d,4054.09,3224.25,0.0246,0.0196,NORMAL,RANGE_BOUND,0.179351,0.199871
27,XYZ,SHORT,VWAP_Reversion,2019-05-22,2019-05-31,163.41706605516296,165.6744977756327,1000.0,10.0,-2267.43,-0.013875,9.0,5-20d,4211.66,4070.94,0.0258,0.0249,NORMAL,RANGE_BOUND,0.205629,0.224149
28,XYZ,SHORT,Volume_Exhaustion,2019-06-02,2019-06-15,166.21880370498536,177.754867654639,1000.0,10.0,-11546.06,-0.069463,13.0,5-20d,3424.32,11536.06,0.0206,0.0694,NORMAL,RANGE_BOUND,0.217333,0.246123
29,XYZ,SHORT,ZScore,2019-06-30,2019-07-24,181.69510527129398,200.33562143429168,3000.0,20.0,-55941.55,-0.102629,24.0,20+d,27422.16,55921.55,0.0503,0.1026,NORMAL,RANGE_BOUND,0.237501,0.143355
30,XYZ,LONG,VWAP_Reversion,2019-07-30,2019-08-07,208.8627256135199,202.26033652433847,2000.0,15.0,-13219.78,-0.031647,8.0,5-20d,9706.78,13204.78,0.0232,0.0316,NORMAL,UPTREND,0.163081,0.217271
31,XYZ,LONG,Volume_Exhaustion,2019-08-14,2019-08-19,206.57527865295086,198.8339950783652,1000.0,10.0,-7751.28,-0.037523,5.0,1-5d,0.0,7741.28,0.0,0.0375,HIGH,UPTREND,0.263145,0.262127
32,XYZ,LONG,Volume_Exhaustion,2019-08-29,2019-09-13,199.9786777407653,205.85867932126817,1000.0,10.0,5870.0,0.029353,15.0,5-20d,14957.45,1798.79,0.0748,0.009,NORMAL,RANGE_BOUND,0.207283,0.25516
33,XYZ,LONG,VWAP_Reversion,2019-09-13,2019-09-24,205.85867932126817,221.69719766983857,1000.0,10.0,15828.52,0.07689,11.0,5-20d,15838.52,132.27,0.0769,0.0006,HIGH,UPTREND,0.25516,0.236784
34,XYZ,SHORT,VWAP_Reversion,2019-09-28,2019-10-06,221.25816089255937,219.90998363506287,1000.0,10.0,1338.18,0.006048,8.0,5-20d,10766.27,1250.23,0.0487,0.0057,NORMAL,UPTREND,0.218036,0.259094
35,XYZ,LONG,ZScore,2019-10-13,2019-10-15,234.57997986566687,227.25060823610045,1000.0,10.0,-7339.37,-0.031287,2.0,1-5d,0.0,7329.37,0.0,0.0312,HIGH,UPTREND,0.265882,0.278795
36,XYZ,LONG,VWAP_Reversion,2019-10-28,2019-10-29,225.67948126631495,224.58306983792306,1000.0,10.0,-1106.41,-0.004903,1.0,0-1d,0.0,1096.41,0.0,0.0049,HIGH,UPTREND,0.265396,0.257618
37,XYZ,LONG,VWAP_Reversion,2019-11-12,2019-11-25,227.0926096237955,240.9869974067713,1000.0,10.0,13884.39,0.06114,13.0,5-20d,16255.62,2478.53,0.0716,0.0109,NORMAL,UPTREND,0.205617,0.265342
38,XYZ,LONG,VWAP_Reversion,2019-11-27,2019-12-09,241.27649469642583,243.33750544438985,1000.0,10.0,2051.01,0.008501,12.0,5-20d,2513.82,6761.81,0.0104,0.028,HIGH,UPTREND,0.270958,0.242486
39,XYZ,SHORT,ZScore,2019-12-12,2019-12-28,245.88105123271117,239.9191487326758,2000.0,15.0,11908.81,0.024217,16.0,5-20d,28924.84,10341.18,0.0588,0.021,NORMAL,UPTREND,0.248256,0.265202
40,XYZ,LONG,ZScore,2019-12-30,2020-01-11,250.4321050573279,261.8886872533319,1000.0,10.0,11446.58,0.045707,12.0,5-20d,11456.58,3121.3,0.0457,0.0125,HIGH,UPTREND,0.275621,0.261161
41,XYZ,LONG,Volume_Exhaustion,2020-01-23,2020-01-26,251.58353835867518,254.9480767697514,1000.0,10.0,3354.54,0.013334,3.0,1-5d,10000.38,0.0,0.0397,0.0,NORMAL,UPTREND,0.21544,0.265736
42,XYZ,SHORT,VWAP_Reversion,2020-02-10,2020-02-12,265.94725074647425,267.6226815058744,1000.0,10.0,-1685.43,-0.006337,2.0,1-5d,818.72,1675.43,0.0031,0.0063,HIGH,UPTREND,0.301029,0.294094
43,XYZ,LONG,Composite,2020-02-18,2020-03-13,279.27720839297024,287.18951425568224,3000.0,20.0,23716.92,0.028307,24.0,20+d,36875.74,41612.02,0.044,0.0497,NORMAL,UPTREND,0.234326,0.262899
44,XYZ,SHORT,ZScore,2020-03-16,2020-04-10,297.88472528302697,320.97522011316244,2000.0,15.0,-46195.99,-0.07754,25.0,20+d,13116.2,46180.99,0.022,0.0775,HIGH,UPTREND,0.261396,0.192708
45,XYZ,LONG,ZScore,2020-04-16,2020-05-03,315.8590595188374,323.7058543966474,2000.0,15.0,15678.59,0.024819,17.0,5-20d,16951.4,11967.42,0.0268,0.0189,NORMAL,UPTREND,0.207197,0.212753
46,XYZ,SHORT,VWAP_Reversion,2020-05-07,2020-05-10,337.115146003815,342.4231327041307,1000.0,10.0,-5317.99,-0.015775,3.0,1-5d,0.0,16301.41,0.0,0.0484,HIGH,UPTREND,0.274478,0.318584
47,XYZ,SHORT,VWAP_Reversion,2020-05-23,2020-05-28,407.1495477141171,415.8833242683482,2000.0,15.0,-17482.55,-0.021469,5.0,1-5d,8463.68,17467.55,0.0104,0.0215,HIGH,UPTREND,0.294613,0.249035
48,XYZ,LONG,VWAP_Reversion,2020-06-09,2020-06-23,422.93658012924783,408.63339190443133,1000.0,10.0,-14313.19,-0.033842,14.0,5-20d,6706.87,16506.52,0.0159,0.039,NORMAL,UPTREND,0.23408,0.204552
49,XYZ,LONG,Composite,2020-06-24,2020-07-01,422.6153060498736,434.21023354794767,1000.0,10.0,11584.93,0.027412,7.0,5-20d,11594.93,8671.35,0.0274,0.0205,NORMAL,UPTREND,0.234147,0.213307
50,XYZ,SHORT,VWAP_Reversion,2020-07-09,2020-07-16,428.2607872472138,420.1029823634512,1000.0,10.0,8147.8,0.019025,7.0,5-20d,8157.8,9784.14,0.019,0.0228,HIGH,UPTREND,0.268054,0.258361
51,XYZ,LONG,Volume_Exhaustion,2020-07-24,2020-08-07,409.2144497310364,435.0480027287861,1000.0,10.0,25823.55,0.063105,14.0,5-20d,26065.54,0.0,0.0637,0.0,NORMAL,RANGE_BOUND,0.221219,0.213568
52,XYZ,LONG,Composite,2020-08-08,2020-08-20,432.0197459811114,401.8010402598773,1000.0,10.0,-30228.71,-0.069971,12.0,5-20d,0.0,30218.71,0.0,0.0699,NORMAL,UPTREND,0.215634,0.208425
53,XYZ,LONG,Composite,2020-08-23,2020-09-06,402.5550043431979,405.35645637044064,1000.0,10.0,2791.45,0.006934,14.0,5-20d,9351.11,13727.6,0.0232,0.0341,NORMAL,RANGE_BOUND,0.217335,0.229987
54,XYZ,LONG,Volume_Exhaustion,2020-09-07,2020-09-26,415.35738540780136,416.10592502782316,2000.0,15.0,1482.08,0.001784,19.0,5-20d,30206.2,22342.82,0.0364,0.0269,NORMAL,RANGE_BOUND,0.230122,0.236913
55,XYZ,LONG,VWAP_Reversion,2020-10-07,2020-10-16,404.30595082788994,377.1250676116997,1000.0,10.0,-27190.88,-0.067253,9.0,5-20d,0.0,31227.84,0.0,0.0772,NORMAL,RANGE_BOUND,0.188659,0.228081
