,num_positions,max_weight,hhi,daily_turnover,gross_value
2018-03-13,1,0.06853349117273098,0.004696839412322796,0.0,6853.349117273098
2018-03-14,1,0.06887033008870243,0.004743122366526831,0.00033683891597144355,6884.862660730095
2018-03-15,1,0.0682882563869642,0.0046632859603717575,0.0005820737017382255,6830.393254536558
2018-03-16,1,0.06820674636801975,0.004652160250111376,8.151001894445009e-05,6822.760955775131
2018-03-19,1,0.06805957762366378,0.0046321061063115156,0.00014716874435596883,6808.977664687877
2018-03-20,1,0.06783946377348049,0.004602192845073372,0.00022011385018329277,6788.355508889496
2018-03-21,1,0.06777785630512176,0.004593837805317733,6.160746835873199e-05,6782.582069319512
2018-03-22,1,0.06848884043878961,0.0046907212646499835,0.0007109841336678524,6849.170249675096
2018-03-23,1,0.06816801932706404,0.004646878858974976,0.00032082111172557215,6819.134289731529
2018-03-26,1,0.06865111424185057,0.0047129754866476175,0.00048309491478652766,6864.355802949278
2018-03-27,1,0.06797262423833896,0.004620277645846425,0.0006784900035116115,6800.8321405582665
2018-03-28,0,0.0,0.0,0.06797262423833896,0.0
2018-03-29,0,0.0,0.0,0.0,0.0
2018-03-30,0,0.0,0.0,0.0,0.0
2018-04-02,0,0.0,0.0,0.0,0.0
2018-04-03,1,0.07133527833286522,0.005088721934827351,0.07133527833286522,8115.631609263311
2018-04-04,1,0.07123658462874224,0.005074650989567956,9.869370412297906e-05,8105.150143557223
2018-04-05,1,0.0710861075372258,0.005053234684794031,0.00015047709151644328,8089.165462436575
2018-04-06,1,0.07154051549136922,0.005118045356770839,0.00045440795414342094,8137.4220172422765
2018-04-09,1,0.07151385695456688,0.005114231736518255,2.665853680233754e-05,8134.592102891713
2018-04-10,1,0.07099069040554562,0.005039678124256027,0.0005231665490212645,8079.027290643835
2018-04-11,0,0.0,0.0,0.07099069040554562,0.0
2018-04-12,0,0.0,0.0,0.0,0.0
2018-04-13,0,0.0,0.0,0.0,0.0
2018-04-16,0,0.0,0.0,0.0,0.0
2018-04-17,0,0.0,0.0,0.0,0.0
2018-04-18,0,0.0,0.0,0.0,0.0
2018-04-19,0,0.0,0.0,0.0,0.0
2018-04-20,0,0.0,0.0,0.0,0.0
2018-04-23,0,0.0,0.0,0.0,0.0
2018-04-24,0,0.0,0.0,0.0,0.0
2018-04-25,0,0.0,0.0,0.0,0.0
2018-04-26,0,0.0,0.0,0.0,0.0
2018-04-27,0,0.0,0.0,0.0,0.0
2018-04-30,0,0.0,0.0,0.0,0.0
