,forecast_vol,realised_vol,leverage,actual_risk,target_risk,utilisation
2018-03-13,0.07029,,0.12747229358127962,,0.1,
2018-03-14,0.07029,,0.1281335512151418,,0.1,
2018-03-15,0.07029,,0.12699109199895353,,0.1,
2018-03-16,0.07029,,0.1268311944625163,,0.1,
2018-03-19,0.07029,,0.12654254785727645,,0.1,
2018-03-20,0.07029,,0.12611095930812458,,0.1,
2018-03-21,0.07029,,0.12599018974866988,,0.1,
2018-03-22,0.07029,,0.12738466542405147,,0.1,
2018-03-23,0.07029,,0.12675523129316285,,0.1,
2018-03-26,0.07029,,0.1277031618821226,,0.1,
2018-03-27,0.07029,,0.12637203561749785,,0.1,
2018-03-28,0.07029,,0.0,,0.1,
2018-03-29,0.07029,,0.0,,0.1,
2018-03-30,0.07029,,0.0,,0.1,
2018-04-02,0.07029,,0.0,,0.1,
2018-04-03,0.074755,,0.14989770583005949,,0.1,
2018-04-04,0.074755,,0.1496751341945594,,0.1,
2018-04-05,0.074755,,0.14933586882663266,,0.1,
2018-04-06,0.074755,,0.1503606963063126,,0.1,
2018-04-09,0.074755,,0.15030054679457905,,0.1,
2018-04-10,0.074755,,0.14912079590020708,,0.1,
2018-04-11,0.074755,0.08308250199036263,0.0,0.0,0.1,0.0
2018-04-12,0.074755,0.08267844468234559,0.0,0.0,0.1,0.0
2018-04-13,0.074755,0.07941997883703016,0.0,0.0,0.1,0.0
2018-04-16,0.074755,0.07951473650680684,0.0,0.0,0.1,0.0
2018-04-17,0.074755,0.08080202471937127,0.0,0.0,0.1,0.0
2018-04-18,0.074755,0.08022995041171567,0.0,0.0,0.1,0.0
2018-04-19,0.074755,0.08017982239146011,0.0,0.0,0.1,0.0
2018-04-20,0.074755,0.07452889186616828,0.0,0.0,0.1,0.0
2018-04-23,0.074755,0.07270507693308806,0.0,0.0,0.1,0.0
2018-04-24,0.074755,0.07021429526406649,0.0,0.0,0.1,0.0
2018-04-25,0.074755,0.06231790896853433,0.0,0.0,0.1,0.0
2018-04-26,0.074755,0.062385558903637534,0.0,0.0,0.1,0.0
2018-04-27,0.074755,0.06268969631096086,0.0,0.0,0.1,0.0
2018-04-30,0.074755,0.06542713048389896,0.0,0.0,0.1,0.0
2018-05-01,0.074755,0.06427464785119098,0.0,0.0,0.1,0.0
2018-05-02,0.074755,0.06123504042906737,0.0,0.0,0.1,0.0
2018-05-03,0.074755,0.06130029443931472,0.0,0.0,0.1,0.0
2018-05-04,0.074755,0.062479896654441744,0.0,0.0,0.1,0.0
2018-05-07,0.074755,0.0600394314840515,0.0,0.0,0.1,0.0
2018-05-08,0.064747,0.06242088391043839,0.12714786309526832,0.007936682001730058,0.1,0.07936682001730057
2018-05-09,0.064747,0.05708296379412035,0.12717783222506016,0.0072596875923178214,0.1,0.0725968759231782
2018-05-10,0.064747,0.052783024953103976,0.12692870171297232,0.006699680829780909,0.1,0.06699680829780909
2018-05-11,0.064747,0.049107148140302474,0.12697472550756383,0.006235366655574181,0.1,0.06235366655574181
2018-05-14,0.064747,0.05925912605433302,0.0,0.0,0.1,0.0
2018-05-15,0.067348,0.06530802408980481,0.14350557298575553,0.009372065417574965,0.1,0.09372065417574964
2018-05-16,0.067348,0.06669859135323464,0.14263068008358795,0.009513265445329174,0.1,0.09513265445329173
2018-05-17,0.067348,0.06836457962368796,0.1419979803102902,0.00970763223132571,0.1,0.0970763223132571
2018-05-18,0.067348,0.0692615711333146,0.14238813227960576,0.009862025752423724,0.1,0.09862025752423724
2018-05-21,0.067348,0.06747684489402204,0.1418233313679578,0.009569790933069179,0.1,0.09569790933069179
2018-05-22,0.067348,0.06747222831464159,0.14164463720640294,0.009557079301134995,0.1,0.09557079301134995
2018-05-23,0.067348,0.07402571495550915,0.14269289698312268,0.010562943718248471,0.1,0.1056294371824847
2018-05-24,0.067348,0.0736480643356678,0.14252934635769302,0.010497010470272053,0.1,0.10497010470272053
2018-05-25,0.067348,0.07671403036522396,0.1431691232784313,0.010983080470544072,0.1,0.10983080470544071
2018-05-28,0.067348,0.0779963394126007,0.1425810983585778,0.011120803741397038,0.1,0.11120803741397037
2018-05-29,0.067348,0.07536195247025425,0.14252821733971724,0.010741204740825837,0.1,0.10741204740825837
2018-05-30,0.067348,0.07510116538050318,0.1419304013027252,0.01065913854075715,0.1,0.10659138540757149
2018-05-31,0.067348,0.07501333075152902,0.14178015942439823,0.010635401992906898,0.1,0.10635401992906898
2018-06-01,0.067348,0.07842150422607079,0.14249247570868245,0.011174474285971731,0.1,0.1117447428597173
2018-06-04,0.067348,0.08241329491361431,0.14132786648108958,0.011647295139817942,0.1,0.11647295139817941
2018-06-05,0.067348,0.08236022467229724,0.14174177030678117,0.011673884047915648,0.1,0.11673884047915647
2018-06-06,0.067348,0.08041130633766042,0.14201283193549066,0.011419437332643424,0.1,0.11419437332643424
2018-06-07,0.067348,0.08029439920175813,0.14167627554641413,0.011375811426142059,0.1,0.11375811426142059
