,long_exposure,short_exposure,gross_exposure,net_exposure
2018-03-13,0.0,0.12747229358127962,0.12747229358127962,-0.12747229358127962
2018-03-14,0.0,0.1281335512151418,0.1281335512151418,-0.1281335512151418
2018-03-15,0.0,0.12699109199895353,0.12699109199895353,-0.12699109199895353
2018-03-16,0.0,0.1268311944625163,0.1268311944625163,-0.1268311944625163
2018-03-19,0.0,0.12654254785727645,0.12654254785727645,-0.12654254785727645
2018-03-20,0.0,0.12611095930812458,0.12611095930812458,-0.12611095930812458
2018-03-21,0.0,0.12599018974866988,0.12599018974866988,-0.12599018974866988
2018-03-22,0.0,0.12738466542405147,0.12738466542405147,-0.12738466542405147
2018-03-23,0.0,0.12675523129316285,0.12675523129316285,-0.12675523129316285
2018-03-26,0.0,0.1277031618821226,0.1277031618821226,-0.1277031618821226
2018-03-27,0.0,0.12637203561749785,0.12637203561749785,-0.12637203561749785
2018-03-28,0.0,0.0,0.0,0.0
2018-03-29,0.0,0.0,0.0,0.0
2018-03-30,0.0,0.0,0.0,0.0
2018-04-02,0.0,0.0,0.0,0.0
2018-04-03,0.0,0.14989770583005949,0.14989770583005949,-0.14989770583005949
2018-04-04,0.0,0.1496751341945594,0.1496751341945594,-0.1496751341945594
2018-04-05,0.0,0.14933586882663266,0.14933586882663266,-0.14933586882663266
2018-04-06,0.0,0.1503606963063126,0.1503606963063126,-0.1503606963063126
2018-04-09,0.0,0.15030054679457905,0.15030054679457905,-0.15030054679457905
2018-04-10,0.0,0.14912079590020708,0.14912079590020708,-0.14912079590020708
2018-04-11,0.0,0.0,0.0,0.0
2018-04-12,0.0,0.0,0.0,0.0
2018-04-13,0.0,0.0,0.0,0.0
2018-04-16,0.0,0.0,0.0,0.0
2018-04-17,0.0,0.0,0.0,0.0
2018-04-18,0.0,0.0,0.0,0.0
2018-04-19,0.0,0.0,0.0,0.0
2018-04-20,0.0,0.0,0.0,0.0
2018-04-23,0.0,0.0,0.0,0.0
2018-04-24,0.0,0.0,0.0,0.0
2018-04-25,0.0,0.0,0.0,0.0
2018-04-26,0.0,0.0,0.0,0.0
2018-04-27,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0
2018-05-02,0.0,0.0,0.0,0.0
2018-05-03,0.0,0.0,0.0,0.0
2018-05-04,0.0,0.0,0.0,0.0
2018-05-07,0.0,0.0,0.0,0.0
